Customer,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
SBC-Teams GoWingu,Files - Files - LRS - new 7/1/2022-7/31/2022  July   ,0,0.0015,7.07505,0.07,0.00,0.01,0.00,0.00
SBC-Teams GoWingu,Virtual Machines Dv2 Series - Virtual Machines Dv2 Series - D1 v2 - EU West - new  7/1/2022-7/31/2022  July   ,371.08,0.0679,7.07505,727.19,0.00,0.41,296.94,0.08
SBC-Teams GoWingu,Virtual Network Peering - Virtual Network Peering - new  7/1/2022-7/31/2022  July   ,13.18,0.01,7.07505,175.40,0.00,0.06,10.55,0.01
SBC-Teams GoWingu,General Block Blob - General Block Blob - LRS - new  7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.01,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Tables - Tables - LRS - new 7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,3.17,0.00,0.00,0.01,0.01
SBC-Teams GoWingu,Bandwidth Inter-Region - Bandwidth Inter-Region - Inter Continent - Intercontinental - new  7/1/2022-7/31/2022  July   ,4.5,0.05,7.07505,12.22,0.00,0.30,3.67,0.07
SBC-Teams GoWingu,General Block Blob - General Block Blob - LRS - new  7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,1.42,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,IP Addresses - IP Addresses - Standard IPv4 - new 7/1/2022-7/31/2022  July   ,391.43,0.005,7.07505,10416.00,0.00,0.03,313.20,0.06
SBC-Teams GoWingu,Virtual Network Peering - Virtual Network Peering - new  7/1/2022-7/31/2022  July   ,12.03,0.01,7.07505,160.71,0.00,0.06,9.66,0.04
SBC-Teams GoWingu,Standard HDD Managed Disks - Standard HDD Managed Disks - Snapshots ZRS - EU West - new  7/1/2022-7/31/2022  July   ,2.65,0.05,7.07505,7.14,0.00,0.30,2.15,0.03
SBC-Teams GoWingu,Tables - Tables - LRS - new 7/1/2022-7/31/2022  July   ,0,0.045,7.07505,0.03,0.00,0.27,0.01,0.01
SBC-Teams GoWingu,Bandwidth Inter-Region - Bandwidth Inter-Region - Intra Continent - Europe - new  7/1/2022-7/31/2022  July   ,5.39,0.02,7.07505,36.02,0.00,0.12,4.33,0.02
SBC-Teams GoWingu,Standard HDD Managed Disks - Standard HDD Managed Disks - S4 LRS - EU West - new  7/1/2022-7/31/2022  July   ,69.24,1.536,7.07505,6.00,0.00,9.24,55.42,0.03
SBC-Teams GoWingu,Load Balancer - Load Balancer - new 7/1/2022-7/31/2022  July   ,279.64,0.025,7.07505,1488.00,0.00,0.15,223.71,0.00
SBC-Teams GoWingu,General Block Blob - General Block Blob - LRS - new  7/1/2022-7/31/2022  July   ,1.05,0.00036,7.07505,399.83,0.00,0.00,0.87,0.03
SBC-Teams GoWingu,Files - Files - LRS - new 7/1/2022-7/31/2022  July   ,0,0.015,7.07505,0.05,0.00,0.09,0.00,0.00
SBC-Teams GoWingu,Virtual Machines RI - Virtual Machines RI - new 7/1/2022-7/31/2022  July   ,0,0,7.07505,2988.29,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Standard HDD Managed Disks - Standard HDD Managed Disks - Snapshots LRS - EU West - new  7/1/2022-7/31/2022  July   ,0.53,0.05,7.07505,1.55,0.00,0.30,0.47,0.05
SBC-Teams GoWingu,Files - Files - LRS - new 7/1/2022-7/31/2022  July   ,0,0.0015,7.07505,0.02,0.00,0.01,0.00,0.00
SBC-Teams GoWingu,Standard SSD Managed Disks - Standard SSD Managed Disks - E4 LRS - new  7/1/2022-7/31/2022  July   ,16.44,0.002,7.07505,1095.72,0.00,0.01,13.18,0.03
SBC-Teams GoWingu,Virtual Machines BS Series - Virtual Machines BS Series - B1ms - EU West - new  7/1/2022-7/31/2022  July   ,134.15,0.024,7.07505,743.93,0.00,0.14,107.37,0.05
SBC-Teams GoWingu,Azure App Service Free Plan - Azure App Service Free Plan - F1 - new  7/1/2022-7/31/2022  July   ,0,0,7.07505,2.00,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Standard Page Blob - Standard Page Blob - LRS - new  7/1/2022-7/31/2022  July   ,0.09,0.00036,7.07505,32.72,0.00,0.00,0.07,0.00
SBC-Teams GoWingu,Bandwidth - Bandwidth - new 7/1/2022-7/31/2022  July   ,0,0.087,7.07505,85.05,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Standard Page Blob - Standard Page Blob - LRS - new  7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,26.81,0.00,0.00,0.06,0.06
SBC-Teams GoWingu,Premium SSD Managed Disks - Premium SSD Managed Disks - P4 - EU West - new  7/1/2022-7/31/2022  July   ,130.89,5.8072,7.07505,3.00,0.00,34.92,104.76,0.05
SBC-Teams GoWingu,Azure Active Directory Domain Services - Azure Active Directory Domain Services - Standard - new  7/1/2022-7/31/2022  July   ,838.65,0.15,7.07505,743.79,0.00,0.90,670.95,0.03
SBC-Teams GoWingu,Standard Page Blob - Standard Page Blob - LRS - new  7/1/2022-7/31/2022  July   ,0,0.045,7.07505,0.03,0.00,0.27,0.01,0.01
SBC-Teams GoWingu,Load Balancer - Load Balancer - new 7/1/2022-7/31/2022  July   ,615.18,0.01,7.07505,8184.00,0.00,0.06,492.17,0.03
SBC-Teams GoWingu,Premium SSD Managed Disks - Premium SSD Managed Disks - P20 - EU West - new  7/1/2022-7/31/2022  July   ,605.35,80.54,7.07505,1.00,0.00,484.35,484.32,0.04
SBC-Teams GoWingu,Bandwidth Inter-Region - Bandwidth Inter-Region - Inter Continent - Intercontinental - new  7/1/2022-7/31/2022  July   ,0,0.05,7.07505,5.00,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Backup - Backup - Standard - EU West - new 7/1/2022-7/31/2022  July   ,1.33,0.0448,7.07505,4.09,0.00,0.27,1.10,0.04
SBC-Teams GoWingu,Bandwidth - Bandwidth - new 7/1/2022-7/31/2022  July   ,0,0,7.07505,0.08,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Virtual Machines Dv2 Series - Virtual Machines Dv2 Series - D3 v2 - EU West - new  7/1/2022-7/31/2022  July   ,7.6,0.272,7.07505,3.73,0.00,1.64,6.10,0.02
SBC-Teams GoWingu,Backup - Backup - Azure VM - EU West - new 7/1/2022-7/31/2022  July   ,37.49,10,7.07505,0.50,0.00,60.14,30.07,0.08
SBC-Teams GoWingu,IP Addresses - IP Addresses - Basic IPv4 - new 7/1/2022-7/31/2022  July   ,20.08,0.0036,7.07505,744.00,0.00,0.02,16.11,0.05
SBC-Teams GoWingu,VPN Gateway - VPN Gateway - Basic - new 7/1/2022-7/31/2022  July   ,201.28,0.036,7.07505,744.00,0.00,0.22,161.07,0.05
SBC-Teams GoWingu,Load Balancer - Load Balancer - new 7/1/2022-7/31/2022  July   ,3.44,0.005,7.07505,93.49,0.00,0.03,2.81,0.06
SBC-Teams GoWingu,Virtual Machines DSv2 Series - Reserved VM Instance; Standard_DS3_v2; EU West; 3 Years - cycleCharge  7/7/2022-8/6/2022  July   ,2766.64,78.21,7.07505,4.00,0.00,553.34,2213.36,0.04
AVS Danmark,Tables - Tables - LRS - new 7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.02,22.00,0.00,0.00,0.00
